lig_name,LF Rank Score,LF dG,LF VSscore
LOR-NOR-c954e7ad-5	LOR-NOR-c954e7ad-5			99.0			99.5					0.0	False	False_D,-9.623,-5.337,-7.095
LOR-NOR-c954e7ad-6	LOR-NOR-c954e7ad-6			26.90741889			99.5					50.613423_D,-6.974,-5.918,-7.169
CHO-MSK-00c5269a-1	CHO-MSK-00c5269a-1			3.302288973			2.334278474	5.6318_D,-6.562,-7.096,-8.914
CHO-MSK-00c5269a-2	CHO-MSK-00c5269a-2			5.654063215			1.137761874	5.9439_D,-6.741,-8.131,-9.634
CHO-MSK-00c5269a-4	CHO-MSK-00c5269a-4			3.787097237			3.700942987	5.4316_D,-6.968,-8.675,-10.373
CHO-MSK-00c5269a-5	CHO-MSK-00c5269a-5			6.019543007			3.6467351110000004_D,-6.737,-8.041,-9.858
ALP-POS-64a710fa-2	ALP-POS-64a710fa-2			99.0			99.5						False	False_D,-11.164,-9.758,-10.231
MAT-POS-199e2e7c-1	MAT-POS-199e2e7c-1			4.648914866			5.163414002	5.2870_D,-7.113,-8.120,-9.060
FRA-DIA-c7e803f4-1	FRA-DIA-c7e803f4-1			5.3593348380000005			4.757495619_D,-8.219,-7.837,-9.197
PET-UNK-e44ffd04-1	PET-UNK-e44ffd04-1			93.86214361			99.5					158.27886_D,-7.262,-7.696,-8.652
EDJ-MED-c8e7a002-1	EDJ-MED-c8e7a002-1			99.0			99.5					0.0	False	False_D,-7.180,-8.050,-9.098
EDJ-MED-c8e7a002-2	EDJ-MED-c8e7a002-2			99.0			99.5					0.0	False	False_D,-7.645,-8.857,-9.863
EDJ-MED-c8e7a002-3	EDJ-MED-c8e7a002-3			52.04939737			99.5						False	Fa_D,-7.272,-8.006,-9.415
EDJ-MED-c8e7a002-4	EDJ-MED-c8e7a002-4			83.37813171			75.25738154	4.1234_D,-6.554,-6.595,-8.029
EDJ-MED-c8e7a002-5	EDJ-MED-c8e7a002-5			81.97793558			99.5						False	Fa_D,-10.271,-7.236,-12.211
EDJ-MED-c8e7a002-6	EDJ-MED-c8e7a002-6			99.0			99.5						False	False	3-a_D,-5.888,-7.213,-7.931
EDJ-MED-c8e7a002-9	EDJ-MED-c8e7a002-9			88.58401427			99.5						False	Fa_D,-10.937,-7.457,-8.917
EDJ-MED-c8e7a002-10	EDJ-MED-c8e7a002-10			91.48871906			99.5						False_D,-11.767,-8.488,-9.779
EDJ-MED-c8e7a002-11	EDJ-MED-c8e7a002-11			99.0			99.5						False	False	3_D,-6.766,-7.538,-8.528
EDJ-MED-c8e7a002-12	EDJ-MED-c8e7a002-12			99.0			99.5					269.5828316	Fa_D,-6.802,-7.488,-8.556
EDJ-MED-c8e7a002-13	EDJ-MED-c8e7a002-13			81.75629543			99.5						False_D,-11.425,-7.868,-8.785
EDJ-MED-c8e7a002-14	EDJ-MED-c8e7a002-14			99.0			99.5						False	False	3_D,-7.518,-8.209,-9.243
EDJ-MED-c8e7a002-15	EDJ-MED-c8e7a002-15			99.0			99.5					0.0	False	Fals_D,-6.303,-7.077,-8.552
EDJ-MED-c8e7a002-16	EDJ-MED-c8e7a002-16			99.0			99.5					99.67208763	Fa_D,-6.727,-7.669,-8.620
ALP-POS-8b8a49e1-4	ALP-POS-8b8a49e1-4			99.0									False	False	3-amino_D,-5.622,-8.107,-8.837
JAG-UCB-52b62a6f-5	JAG-UCB-52b62a6f-5			99.0			99.5						False	False	3-a_D,-11.367,-8.153,-9.400
JAG-UCB-52b62a6f-6	JAG-UCB-52b62a6f-6			99.0			99.5						False	False	3-a_D,-7.955,-8.868,-9.953
